time,node_id,vehicles_in_range
69.0,edge2,1
70.0,rsu1,4
70.0,rsu2,0
70.0,rsu3,0
70.0,rsu4,0
70.0,rsu5,0
70.0,edge1,5
70.0,edge2,1
71.0,rsu1,4
71.0,rsu2,0
71.0,rsu3,0
71.0,rsu4,0
71.0,rsu5,0
71.0,edge1,6
71.0,edge2,1
72.0,rsu1,4
72.0,rsu2,0
72.0,rsu3,0
72.0,rsu4,0
72.0,rsu5,0
72.0,edge1,6
72.0,edge2,1
73.0,rsu1,4
73.0,rsu2,0
73.0,rsu3,0
73.0,rsu4,0
73.0,rsu5,0
73.0,edge1,6
73.0,edge2,1
74.0,rsu1,4
74.0,rsu2,0
74.0,rsu3,0
74.0,rsu4,0
74.0,rsu5,0
74.0,edge1,6
74.0,edge2,1
75.0,rsu1,4
75.0,rsu2,0
75.0,rsu3,0
75.0,rsu4,0
75.0,rsu5,0
75.0,edge1,6
75.0,edge2,2
76.0,rsu1,4
76.0,rsu2,0
76.0,rsu3,0
76.0,rsu4,0
76.0,rsu5,0
76.0,edge1,6
76.0,edge2,2
77.0,rsu1,4
77.0,rsu2,0
77.0,rsu3,0
77.0,rsu4,0
77.0,rsu5,0
77.0,edge1,6
77.0,edge2,2
78.0,rsu1,4
78.0,rsu2,0
78.0,rsu3,0
78.0,rsu4,0
78.0,rsu5,0
78.0,edge1,6
78.0,edge2,2
79.0,rsu1,4
79.0,rsu2,0
79.0,rsu3,0
79.0,rsu4,0
79.0,rsu5,0
79.0,edge1,6
79.0,edge2,2
80.0,rsu1,4
80.0,rsu2,0
80.0,rsu3,0
80.0,rsu4,0
80.0,rsu5,0
80.0,edge1,6
80.0,edge2,1
81.0,rsu1,4
81.0,rsu2,0
81.0,rsu3,0
81.0,rsu4,0
81.0,rsu5,1
81.0,edge1,7
81.0,edge2,2
82.0,rsu1,4
82.0,rsu2,0
82.0,rsu3,0
82.0,rsu4,0
82.0,rsu5,1
82.0,edge1,7
82.0,edge2,2
83.0,rsu1,4
83.0,rsu2,0
83.0,rsu3,0
83.0,rsu4,0
83.0,rsu5,1
83.0,edge1,7
83.0,edge2,2
84.0,rsu1,4
84.0,rsu2,0
84.0,rsu3,0
84.0,rsu4,0
84.0,rsu5,1
84.0,edge1,7
84.0,edge2,2
85.0,rsu1,4
85.0,rsu2,0
85.0,rsu3,0
85.0,rsu4,0
85.0,rsu5,1
85.0,edge1,7
85.0,edge2,2
86.0,rsu1,4
86.0,rsu2,0
86.0,rsu3,0
86.0,rsu4,0
86.0,rsu5,1
86.0,edge1,7
86.0,edge2,2
87.0,rsu1,4
87.0,rsu2,0
87.0,rsu3,0
87.0,rsu4,0
87.0,rsu5,1
87.0,edge1,7
87.0,edge2,2
88.0,rsu1,4
88.0,rsu2,0
88.0,rsu3,0
88.0,rsu4,0
88.0,rsu5,1
88.0,edge1,7
88.0,edge2,2
89.0,rsu1,4
89.0,rsu2,0
89.0,rsu3,0
89.0,rsu4,0
89.0,rsu5,1
89.0,edge1,7
89.0,edge2,2
90.0,rsu1,3
90.0,rsu2,0
90.0,rsu3,0
90.0,rsu4,0
90.0,rsu5,1
90.0,edge1,7
90.0,edge2,2
91.0,rsu1,3
91.0,rsu2,0
91.0,rsu3,0
91.0,rsu4,0
91.0,rsu5,1
91.0,edge1,8
91.0,edge2,2
92.0,rsu1,3
92.0,rsu2,0
92.0,rsu3,1
92.0,rsu4,0
92.0,rsu5,1
92.0,edge1,8
92.0,edge2,1
93.0,rsu1,3
93.0,rsu2,0
93.0,rsu3,1
93.0,rsu4,0
93.0,rsu5,0
93.0,edge1,8
93.0,edge2,1
94.0,rsu1,3
94.0,rsu2,0
94.0,rsu3,1
94.0,rsu4,0
94.0,rsu5,0
94.0,edge1,8
94.0,edge2,1
95.0,rsu1,2
95.0,rsu2,0
95.0,rsu3,1
95.0,rsu4,0
95.0,rsu5,0
95.0,edge1,8
95.0,edge2,1
96.0,rsu1,2
96.0,rsu2,0
96.0,rsu3,2
96.0,rsu4,0
96.0,rsu5,0
96.0,edge1,8
96.0,edge2,1
97.0,rsu1,2
97.0,rsu2,0
97.0,rsu3,2
97.0,rsu4,0
97.0,rsu5,0
97.0,edge1,8
97.0,edge2,1
98.0,rsu1,2
98.0,rsu2,0
98.0,rsu3,2
98.0,rsu4,0
98.0,rsu5,0
98.0,edge1,8
98.0,edge2,1
99.0,rsu1,2
99.0,rsu2,0
99.0,rsu3,2
99.0,rsu4,0
99.0,rsu5,0
99.0,edge1,8
99.0,edge2,1
100.0,rsu1,2
100.0,rsu2,0
100.0,rsu3,3
100.0,rsu4,0
100.0,rsu5,0
100.0,edge1,8
100.0,edge2,0
101.0,rsu1,2
101.0,rsu2,0
101.0,rsu3,3
101.0,rsu4,0
101.0,rsu5,0
101.0,edge1,9
101.0,edge2,0
102.0,rsu1,2
102.0,rsu2,0
102.0,rsu3,3
102.0,rsu4,0
102.0,rsu5,0
102.0,edge1,9
102.0,edge2,0
103.0,rsu1,2
103.0,rsu2,0
103.0,rsu3,3
103.0,rsu4,0
103.0,rsu5,0
