time,event,task_id,veh_id,info
320.0,generated,ind_3eecb7f3,20,"{""kind"": ""independent"", ""size"": 356655, ""cpu"": 99571739.85910812, ""deadline"": 511.69439763692407}"
325.0,generated,ind_452f2299,22,"{""kind"": ""independent"", ""size"": 485607, ""cpu"": 67563003.45040739, ""deadline"": 406.2527148036305}"
327.0,generated,ind_1ac82bf3,22,"{""kind"": ""independent"", ""size"": 364534, ""cpu"": 9488338.108484667, ""deadline"": 334.00715936984545}"
329.0,generated,ind_ea3896c5,27,"{""kind"": ""independent"", ""size"": 181852, ""cpu"": 15736185.42310872, ""deadline"": 397.0138097458914}"
333.0,generated,ind_7d26261a,24,"{""kind"": ""independent"", ""size"": 376740, ""cpu"": 35801326.16139314, ""deadline"": 339.3610323333861}"
343.0,generated,ind_a22d81b7,33,"{""kind"": ""independent"", ""size"": 316780, ""cpu"": 63354760.418061964, ""deadline"": 532.5234772909432}"
344.0,generated,ind_c4061a2a,26,"{""kind"": ""independent"", ""size"": 109882, ""cpu"": 63573463.862898044, ""deadline"": 383.07002614601254}"
348.0,generated,dep_5bcca6a4,30,"{""kind"": ""dependent"", ""num_subtasks"": 11, ""deadline"": 2118.4229028698883}"
370.0,generated,ind_3db33e52,35,"{""kind"": ""independent"", ""size"": 291627, ""cpu"": 49152821.77340221, ""deadline"": 416.1183167138368}"
372.0,generated,ind_26f4937d,35,"{""kind"": ""independent"", ""size"": 413460, ""cpu"": 21500874.613964286, ""deadline"": 376.528501914791}"
375.0,generated,ind_110de504,32,"{""kind"": ""independent"", ""size"": 277545, ""cpu"": 80499460.12899984, ""deadline"": 473.1174410841532}"
380.0,generated,ind_f1c75b57,29,"{""kind"": ""independent"", ""size"": 353375, ""cpu"": 10928488.79177213, ""deadline"": 432.16167088058364}"
382.0,generated,ind_ff718152,38,"{""kind"": ""independent"", ""size"": 153016, ""cpu"": 78572379.61885476, ""deadline"": 472.4000768101098}"
